한국어,로마자화,영어,일본어,중국어 간체,중국어 번체
떡만둣국,Tteongmandutguk,Sliced Rice Cake and DumplingSoup,餅と餃子のスープ,年糕饺子汤,年糕餃子湯
김치만두,kimchimandu,Kimchi Dumpling,キムチ餃子,辛奇饺子,辛奇餃子
군만두,gunmandu,Pan-fried Dumpling,焼き餃子,煎饺,煎餃
고기만두,gogimandu,Meat Dumpling,肉餃子,肉饺,肉餃
갈비만두,galbimandu,Pork Rib Dumpling,カルビ餃子,排骨饺子,排骨餃子
포기김치,pogikimchi,Kimchi,白菜キムチ,整棵辛奇,整棵辛奇
파김치,Pakimchi,Green Onion Kimchi,ねぎキムチ,葱辛奇,蔥辛奇
총각김치,Chonggakkimchi,Whole Radish Kimchi,ミニ大根キムチ,小萝卜辛奇,嫩萝卜辛奇
오이소박이,Oisobagi,Cucumber Kimchi,キュウリキムチ,黄瓜辛奇,黃瓜辛奇
열무얼갈이김치,yeolmueolgarikimchi,Young Summer Radish and Winter Cabbage Kimchi,大根若菜と山東菜キムチ,萝卜缨冬白菜辛奇,蘿蔔纓冬白菜辛奇
열무김치,Yeolmukimchi,Young Summer Radish Kimchi,大根若菜キムチ,萝卜缨辛奇,蘿蔔纓辛奇
석박지,seokbakji,Radish and Cabbage Kimchi,白菜と大根のキムチ,白菜萝卜辛奇,白菜蘿蔔辛奇
부추김치,buchukimchi,Chive Kimchi,ニラキムチ,韭菜辛奇,韭菜辛奇
봄동겉절이,bomdonggeotjeori,Fresh Winter Cabbage Kimchi,浅漬け春白菜,鲜辣春白菜,鮮辣春白菜
보쌈김치,Bossamkimchi,Wrapped Kimchi,ポサムキムチ,包卷辛奇,包卷辛奇
백김치,baekkimchi,White Kimchi,白キムチ,白辛奇,白辛奇
배추김치,Baechukimchi,Kimchi,白菜キムチ,辛奇,辛奇
배추겉절이,baechugeotjeori,Fresh Cabbage Kimchi,浅漬け白菜,鲜辛奇,鮮辛奇
동치미,Dongchimi,Radish Water Kimchi,大根の水キムチ,水萝卜辛奇,水蘿蔔辛奇
돌미나리물김치,dolminarimulkimchi,Wild Parsley Water Kimchi,野芹の水キムチ,野生水芹水辛奇,野生水芹水辛奇
돌나물물김치,dolnamulmulkimchi,Stringy Stonecrop Water Kimchi,ツルマンネングサの水キムチ,垂盆草水辛奇,垂盆草水辛奇
나박김치,nabakkimchi,Water Kimchi,大根と白菜の水キムチ,萝卜片水辛奇,蘿蔔片水辛奇
깻잎김치,Kkaennipkimchi,Perilla Leaf Kimchi,エゴマの葉キムチ,苏子叶辛奇,蘇子葉辛奇
깍두기,Kkakdugi,Diced Radish Kimchi,カクトゥギ,萝卜块辛奇,蘿蔔塊辛奇
고들빼기김치,godeulppaegikimchi,Bitter Lettuce Kimchi,イヌヤクシ草キムチ,苦菜辛奇,苦菜辛奇
겉절이,Geotjeori,Fresh Kimchi,浅漬けキムチ,鲜辛奇,鮮辛奇
갓김치,gatkimchi,Leaf Mustard Kimchi,カラシナキムチ,芥菜辛奇,芥菜辛奇
회무침,Hoemuchim,Spicy Raw Fish Salad,刺身の和え物,凉拌生鱼片,涼拌生魚片
홍어회무침,Hongeohoemuchim,Sliced Raw Skate Salad,ガンギエイの刺身の和え物,生拌斑鳐,生拌斑鰩
한치회무침,hanchihoemuchim,Sliced Raw Swordtip Squid Salad,ケンサキイカの刺身の和え物,生拌小鱿鱼,生拌小魷魚
한치물회,hanchimulhoe,Cold Raw Swordtip Squid Soup,ケンサキイカ入り冷やしスープ,水拌小鱿鱼片,水拌小魷魚片
전어회,jeoneohoe,Sliced Raw Gizzard Shad,コノシロの刺身,斑鰶生鱼片,斑鰶生魚片
전어무침,jeoneomuchim,Gizzard Shad Salad,コノシロの和え物,生拌斑鰶,生拌斑鰶
자리물회,jarimulhoe,Cold Raw Pearl-spot Chromis Soup,スズメダイ入り冷やしスープ,水拌雀鲷鱼片,水拌雀鯛魚片
육회,Yukhoe,Beef Tartare,ユッケ,生拌牛肉,生拌牛肉
오징어물회,ojingeomulhoe,Cold Raw Squid Soup,イカ入り冷やしスープ,水拌鱿鱼片,水拌魷魚片
송어회,songeohoe,Sliced Raw Trout,マスの刺身,鳟鱼生鱼片,鱒魚生魚片
생선회,Saengseonhoe,Sliced Raw Fish,刺身,生鱼片,生魚片
산낙지,sannakji,Live Octopus,テナガダコの刺身,活章鱼,活章魚
민어회,mineohoe,Sliced Raw Croaker,ニベの刺身,黄姑鱼生鱼片,黃姑魚生魚片
물회,Mulhoe,Cold Raw Fish Soup,刺身入り冷やしスープ,水拌生鱼片,水拌生魚片
문어숙회,muneosukhoe,Parboiled Octopus,ゆでタコ,白灼章鱼,白灼章魚
문어삼합,Muneosamhap,Octopus Skate and Pork Combo,タコのサムハプ,章鱼三合,章魚三合
모둠회,Modumhoe,Assorted Sliced Raw Fish,刺身の盛り合わせ,生鱼片拼盘,生魚片拼盤
두부삼합,Dubusamhap,Bean Curd Pork and Aged Kimchi Combo,豆腐のサムハプ,豆腐三合,豆腐三合
광어회,Gwangeohoe,Sliced Raw Flatfish,ヒラメの刺身,左口鱼生鱼片,左口魚生魚片
과메기,Gwamegi,Half-dried Saury,半干しさんま,秋刀鱼干,秋刀魚幹
강어회,Gangeohoe,Sliced Raw Leather Carp,カガミゴイの刺身,德国镜鲤生鱼片,德國鏡鯉生魚片
황석어젓,hwangseogeojeot,Salted Small Yellow Croaker,金石魚の塩辛,小黄花鱼酱,小黃花魚醬
조개젓,jogaejeot,Salted Clam Meat,貝の塩辛,蛤蜊酱,蛤蜊醬
젓갈,Jeotgal,Salted Seafood,塩辛,鱼虾酱,魚蝦醬
오징어젓,ojingeojeot,Salted Squid,イカの塩辛,鱿鱼酱,魷魚醬
어리굴젓,eoriguljeot,Spicy Salted Oysters,味付けカキの塩辛,辣牡蛎酱,辣牡蠣醬
새우젓,Saeujeot,Salted Shrimp,アミの塩辛,虾酱,蝦醬
명태식해,myeongtaesikhae,Salted and Fermented Pollack,スケトウダラの塩辛,发酵明太鱼酱,發酵明太魚醬
명란젓,myeongnanjeot,Salted Pollack Roe,明太子の塩辛,明太鱼子酱,明太魚子醬
멸치젓,Myeolchijeot,Salted Anchovies,カタクチイワシの塩辛,鳀鱼酱,鳀魚醬
낙지젓,nakjijeot,Salted Octopus,テナガダコの塩辛,章鱼酱,章魚醬
꼴뚜기젓,kkolttugijeot,Salted Beka Squid,ベイカの塩辛,墨鱼仔酱,墨魚仔醬
갈치젓,galchijeot,Salted Cutlassfish,太刀魚の塩辛,带鱼酱,帶魚醬
호박전,hobakjeon,Pan-fried Battered Zucchini,ズッキーニのチヂミ,香煎西葫芦,香煎西葫蘆
해물파전,Haemulpajeon,Seafood and Green Onion Pancake,海鮮とねぎのチヂミ,海鲜葱煎饼,海鮮蔥煎餅
해물부추전,haemulbuchujeon,Seafood and Chive Pancake,海鮮とニラのチヂミ,海鲜韭菜煎饼,海鮮韭菜煎餅
파전,Pajeon,Green Onion Pancake,ねぎのチヂミ,葱煎饼,蔥煎餅
파래전,paraejeon,Green Laver Pancake,青海苔のチヂミ,海青菜煎饼,海青菜煎餅
육전,Yukjeon,Pan-fried Battered Beef,牛肉のチヂミ,香煎肉片,香煎肉片
오징어튀김,ojingeotwigim,Deep-fried Squid,イカ天ぷら,炸鱿鱼,炸魷魚
연근전,yeongeunjeon,Pan-fried Battered Lotus Roots,れんこん天ぷら,香煎莲藕,香煎蓮藕
야채튀김,yachaetwigim,Deep-fried Vegetables,野菜天ぷら,炸蔬菜,炸蔬菜
애호박전,aehobakjeon,Pan-fried Battered Zuccinni,ズッキーニのチヂミ,香煎西葫芦,香煎西葫蘆
수수부꾸미,susubukkumi,Pan-fried Millet Rice Cake,焼ききび餅,高粱煎糕,高粱煎糕
생선전,saengseonjeon,Pan-fried Battered Fish-fillets,白身魚のチヂミ,香煎鱼片,香煎魚片
새우튀김,saeutwigim,Deep-fried Shrimp,海老天ぷら,炸虾,炸蝦
빈대떡,bindaetteok,Mung Bean Pancake,ピンデトク,绿豆煎饼,綠豆煎餅
부추전,buchujeon,Chive Pancake,にらのチヂミ,韭菜煎饼,韭菜煎餅
부각,bugak,Vegetable and Seaweed Chips,海藻・野菜のパリパリ揚げ,干炸片,乾炸片
복튀김,boktwigim,Deep-fried Puffer Fish,ふぐ天ぷら,炸河豚,炸河豚
버섯전,beoseotjeon,Pan-fried Battered Mushrooms,きのこのチヂミ,蘑菇煎饼,蘑菇煎餅
배추전,baechujeon,Cabbage Pancake,白菜のチヂミ,白菜煎饼,白菜煎餅
미나리전,minarijeon,Water Parsley Pancake,セリのチヂミ,水芹煎饼,水芹煎餅
미꾸라지튀김,mikkurajitwigim,Deep-fried Loach,どじょう天ぷら,炸泥鳅,炸泥鰍
모둠전,modumjeon,Assorted Savory Pancakes,チヂミの盛り合わせ,煎饼拼盘,煎餅拼盤
메밀전병,memiljeonbyeong,Buckwheat Crepe,そば粉の薄皮巻き,荞麦煎饼,蕎麥煎餅
두부전,dubujeon,Pan-fried Battered Bean Curd,豆腐のチヂミ,香煎豆腐,香煎豆腐
동태전,dongtaejeon,Pan-fried Battered Pollack Fillet,スケトウダラのチヂミ,香煎冻明太鱼片,香煎凍明太魚片
동그랑땡,donggeurangttaeng,Meat Fritters,肉団子のチヂミ,香煎肉饼,香煎肉餅
단호박튀김,danhobaktwigim,Deep-fried Pumkin,カボチャ天ぷら,炸甜南瓜,炸甜南瓜
단군신화전,dangunsinhwajeon,Pan-fried Battered Kimchi Roll with Garlic and Beef,檀君神話チヂミ,檀君神话辛奇卷,檀君神話辛奇卷
다시마부각,dasimabugak,Kelp Chips,昆布のパリパリ揚げ,干炸昆布片,乾炸昆布片
녹두전,nokdujeon,Mung Bean Pancake,緑豆のチヂミ,绿豆煎,綠豆煎
꼬막전,kkomakjeon,Pan-fried Battered Cockles,ハイガイのチヂミ,香煎血蚶,香煎泥蚶
깻잎전,kkaennipjeon,Pan-fried Battered Perilla Leaves,エゴマの葉のチヂミ,香煎苏子叶,香煎蘇子葉
김치전,kimchijeon,Kimchi Pancake,キムチのチヂミ,辛奇煎饼,辛奇煎餅
김부각,gimbugak,Laver Chips,のりのパリパリ揚げ,干炸紫菜片,乾炸紫菜片
김말이튀김,gimmaritwigim,Deep-fried Laver Roll,春雨のり巻き天ぷら,炸紫菜卷,炸紫菜捲
굴전,guljeon,Pan-fried Battered Oyster,カキのチヂミ,香煎牡蛎,香煎牡蠣
고추전,gochujeon,Pan-fried Battered Chili Pepper,青唐辛子のチヂミ,香煎尖椒,香煎尖椒
고추부각,gochubugak,Chili Pepper Chips,唐辛子のパリパリ揚げ,干炸辣椒片,乾炸辣椒片
고구마튀김,gogumatwigim,Deep-fried Sweet Potatoes,さつまいも天ぷら,炸红薯,炸紅薯
계란말이,gyeranmari,Rolled Omelet,卵焼き,鸡蛋卷,雞蛋捲
감자전,gamjajeon,Potato Pancake,じゃがいものチヂミ,土豆煎饼,土豆煎餅
가자미전,gajamijeon,Pan-fried Battered Plaice,カレイのチヂミ,香煎鲽鱼片,香煎鰈魚片
콩잎장아찌,kongnipjangajji,Pickled Bean Leaf,豆の葉の漬物,豆叶酱菜,豆葉醬菜
죽순장아찌,juksunjangajji,Pickled Bamboo Shoot,竹の子の漬物,竹笋酱菜,竹筍醬菜
장아찌,jangajji,Pickled Vegetables,漬物,酱菜,醬菜
오이지,oiji,Pickled Cucumber,キュウリの漬物,腌黄瓜,醃黃瓜
양파장아찌,yangpajangajji,Pickled Onion,玉ねぎの漬物,洋葱酱菜,洋蔥醬菜
양념게장,yangnyeomgejang,Spicy Marinated Crab,味付けケジャン,鲜辣生蟹,鮮辣生蟹
새우장,saeujang,Soy Sauce Marinated Shrimp,カンジャンセウ,酱生虾,醬生蝦
무장아찌,mujangajji,Pickled Radish,大根の漬物,萝卜酱菜,蘿蔔醬菜
무말랭이장아찌,mumallaengijangajji,Pickled Dried Radish,干し大根の漬物,萝卜干酱菜,蘿蔔幹醬菜
명이나물장아찌,myeonginamuljangajji,Pickled Victory Onion,行者にんにくの葉の漬物,茖葱叶酱菜,茖蔥葉醬菜
매실장아찌,maesiljangajji,Pickled Green Plum,梅の漬物,青梅酱菜,青梅醬菜
마늘종장아찌,maneuljongjangajji,Pickled Garlic Stem,にんにくの茎の漬物,蒜薹酱菜,蒜薹醬菜
마늘장아찌,maneuljangajji,Pickled Garlic,にんにくの漬物,大蒜酱菜,大蒜醬菜
두릅장아찌,dureupjangajji,Pickled Fatsia Shoot,タラの芽の漬物,刺嫩芽酱菜,刺嫩芽醬菜
더덕장아찌,deodeokjangajji,Pickled Deodeok,蔓人参の漬物,沙参酱菜,沙參醬菜
노각장아찌,nogakjangajji,Pickled Yellow Cucumber,老いキュウリの漬物,老黄瓜酱菜,老黃瓜醬菜
깻잎지,kkaennipji,Pickled Perilla Leaf,エゴマの葉の漬物,苏子叶酱菜,蘇子葉醬菜
김장아찌,gimjangajji,Pickled Laver,のりの漬物,紫菜酱菜,紫菜醬菜
고추장아찌,gochujangajji,Pickled Chili Peppers,唐辛子の漬物,辣椒酱菜,辣椒醬菜
간장게장,ganjanggejang,Soy Sauce Marinated Crab,カンジャンケジャン,酱生蟹,醬生蟹
가죽장아찌,gajukjangajji,Pickled Red Toon Shoot,チャンチンの若芽の漬物,椿芽酱菜,椿芽醬菜
초고추장,chogochujang,Sweet and Sour Red Chili Paste,チョゴチュジャン,糖醋辣酱,糖醋辣醬
초간장,choganjang,Vinegar Soy Sauce,チョガンジャン,酱油醋,醬油醋
쌈장,ssamjang,Red Chili and Soybean Paste,サムジャン,包饭酱,包飯醬
볶음고추장,bokkeumgochujang,Stir-fried Red Chili Paste,炒めコチュジャン,炒辣椒酱,炒辣椒醬
막장,makjang,Fermented Soybean Paste with Red Chili Powder,マクチャン,剁椒豆酱,剁椒豆醬
된장,doenjang,Soybean Paste,テンジャン,大酱,大醬
고추장,gochujang,Red Chili Paste,コチュジャン,辣椒酱,辣椒醬
간장,ganjang,Soy Sauce,カンジャン,酱油,醬油
LA갈비,LA galbi,Marinated Grilled Ribs,LAカルビ,LA排骨,LA排骨
훈제오리,hunjeori,Smoked Duck,鴨の燻製,烟熏鸭肉,煙熏鴨肉
황태구이,hwangtaegui,Grilled Dried Pollack,スケトウダラ焼き,烤干明太鱼,烤乾明太魚
코다리구이,kodarigui,Grilled Half-dried Pollack,半干しスケトウダラ焼き,烤半干明太鱼,烤半乾明太魚
차돌박이구이,chadolbagigui,Grilled Beef Brisket,牛のともばら肉焼き,烤牛胸肉,烤牛胸肉
조개구이,jogaegui,Grilled Clams,貝焼き,烤贝壳,烤貝殼
전어구이,jeoneogui,Grilled Gizzard Shad,コノシロ焼き,烤斑鰶,烤斑鰶
전복구이,jeonbokgui,Grilled Abalone,アワビ焼き,烤鲍鱼,烤鮑魚
장작구이통닭,jangjakguitongdak,Wood-grilled Chicken,丸鶏の薪焼き,柴烤全鸡,柴烤全雞
장어구이,jangeogui,Grilled Eel,ウナギ焼き,烤鳗鱼,烤鳗魚
임연수구이,imyeonsugui,Grilled Greenling Fish,ホッケ焼き,烤多线鱼,烤多線魚
은어구이,euneogui,Grilled Sweetfish,鮎焼き,烤香鱼,烤香魚
옥돔구이,okdomgui,Grilled Red Tilefish,アマダイ焼き,烤马头鱼,烤馬頭魚
오징어불고기,ojingeobulgogi,Squid Bulgogi,イカのプルゴギ,烤鱿鱼,烤魷魚
오징어구이,ojingeogui,Grilled Squid,イカ焼き,烤鱿鱼,烤魷魚
오리불고기,oribulgogi,Duck Bulgogi,鴨肉プルゴギ,烤鸭肉,烤鴨肉
오리로스,ori-roseu,Grilled Duck,鴨肉ロース,烤鸭肉,烤鴨肉
오리구이,origui,Grilled Duck,鴨肉焼き,烤鸭肉,烤鴨肉
언양불고기,Eonyangbulgogi,Eonyang Bulgogi,オンヤンプルゴギ,彦阳烤牛肉,彥陽烤牛肉
양념장어구이,yangnyeomjangeogui,Grilled Seasoned Eel,味付けウナギ焼き,调味烤鳗鱼,調味烤鰻魚
양념갈비,yangnyeomgalbi,Marinated Grilled Beef RibsMarinated Grilled Pork Ribs,味付けカルビ,调味排骨,調味排骨
양곱창구이,yanggopchanggui,Grilled Beef Tripe,牛ミノ焼き,烤牛胃,烤牛胃
숯불닭갈비,sutbuldakgalbi,Spicy Charcoal-grilled Chicken,炭火タッカルビ,炭烤鸡块,炭烤雞塊
솥뚜껑삼겹살,sotttukkeongsamgyeopsal,Caldron Lid-grilled Pork Belly,釜のふたサムギョプサル,锅盖烤五花肉,鍋蓋烤五花肉
소곱창구이,sogopchanggui,Grilled Beef Small Intestine,牛コプチャン焼き,烤牛肠,烤牛腸
소고기편채,sogogipyeonchae,Sliced Beef with Vegetables,牛ロースの薄切り,肉片菜丝,肉片菜絲
소고기구이,sogogigui,Grilled Beef,牛肉焼き,烤牛肉,烤牛肉
소갈비구이,sogalbigui,Grilled Beef Ribs,牛カルビ焼き,烤牛排,烤牛排
석쇠돼지불고기,seoksoedwaejibulgogi,Grilled Pork Bulgogi,豚肉プルゴギ網焼き,烧烤猪肉,燒烤豬肉
생선구이,saengseongui,Grilled Fish,焼き魚,烤鱼,烤魚
새우구이,saeugui,Grilled Shrimp,海老の塩焼き,烤虾,烤蝦
삼치구이,samchigui,Grilled Spotted Mackerel,サワラ焼き,烤鲅鱼,烤鮁魚
삼겹살,samgyeopsal,Grilled Pork Belly,サムギョプサル,烤五花肉,烤五花肉
불고기,bulgogi,Bulgogi,プルゴギ,烤牛肉,烤牛肉
북어구이,bugeogui,Grilled Dried Pollack,干しスケトウダラ焼き,烤干明太鱼,烤乾明太魚
복불고기,bokbulgogi,Puffer Fish Bulgogi,ふぐプルゴギ,炒河豚,炒河豚
보리굴비,borigulbi,Barley-aged Dried Yellow Croaker,麦熟成の干しイシモチ,大麦干黄花鱼,大麥乾黃花魚
병어구이,byeongeogui,Grilled Pomfret,マナガツオ焼き,烤平鱼,烤平魚
바싹불고기,bassakbulgogi,Thin-sliced Bulgogi,直火プルゴギ,酥烤牛肉,酥烤牛肉
모던불고기,modern bulgogi,Modern Bulgogi,モダンプルゴギ,现代式烤牛肉,現代式烤牛肉
매운족발,maeunjokbal,Spicy Braised Pigs' Feet,辛味豚足,香辣猪蹄,香辣豬蹄
막창구이,makchanggui,Grilled Beef Reed Tripe,ギアラ焼き,烤牛胃,烤牛胃
떡갈비,tteokgalbi,Grilled Short Rib Patties,粗挽きカルビ焼き,牛肉饼,牛肉餅
등심구이,deungsimgui,Grilled Sirloin,ロース焼き,烤外脊,烤外脊
등갈비구이,deunggalbigui,Grilled Back Ribs,バックリプ焼き,烤脊排,烤脊排
돼지막창구이,dwaejimakchanggui,Grilled Pork Intestine,豚てっぽう焼き,烤猪肠头,烤豬腸頭
돼지갈비구이,dwaejigalbigui,Grilled Spareribs,豚カルビ焼き,烤猪排,烤豬排
도미구이,domigui,Grilled Sea Bream,鯛焼き,烤鲷鱼,烤鯛魚
도리뱅뱅,doribaengbaeng,Spicy Braised Freshwater Sprats,揚げ出しオイカワの煮物,炖炸白糯鱼,燉炸白糯魚
도루묵구이,dorumukgui,Grilled Sailfin Sandfish,ハタハタ焼き,烤银鱼,烤銀魚
더덕구이,deodeokgui,Grilled Deodeok,蔓人蔘焼き,烤沙参,烤沙蔘
대합구이,daehapgui,Grilled Hard Clams,ハマグリ焼き,烤文蛤,烤文蛤
대하구이,daehagui,Grilled Prawn,大正海老焼き,烤大虾,烤大蝦
대패삼겹살,daepaesamgyeopsal,Grilled Thin-sliced Pork Belly,薄切りサムギョプサル,薄切五花肉,薄切五花肉
대창구이,daechanggui,Grilled Beef Large Intestine,牛大腸焼き,烤牛大肠,烤牛大腸
닭꼬치구이,dakkkochigui,Chicken Skewers,焼き鳥,烤鸡肉串,烤雞肉串
너비아니,neobiani,Marinated Grilled Beef Slices,宮中焼き肉,宫廷烤牛肉,宮廷烤牛肉
낙지호롱,nakjihorong,Grilled Whole Octopus,テナガダコの丸焼き,章鱼串,章魚串
꽁치구이,kkongchigui,Grilled Saury,サンマ焼き,烤秋刀鱼,烤秋刀魚
꼬치구이,kkochigui,Grilled Skewers,串焼き,烤串,烤串
김,gim,Laver,のり,海苔,紫菜
굴비구이,gulbigui,Grilled Dried Yellow Croaker,干しイシモチ焼き,烤半干黄花鱼,烤半幹黃花魚
곰장어구이,gomjangeogui,Grilled Sea Eel,ヌタウナギ焼き,烤盲鳗,烤盲鰻
광양불고기,Gwangyangbulgogi,Gwangyang Bulgogi,クァンヤンプルゴギ,光阳烤牛肉,光陽烤牛肉
곱창구이,gopchanggui,Grilled Beef TripeGrilled Pork Tripe,コプチャン焼き,烤肥肠,烤肥腸
고추장삼겹살,gochujangsamgyeopsal,Red Chili Paste Pork Belly,コチュジャンサムギョプサル,辣椒酱烤五花肉,辣椒醬烤五花肉
고추장불고기,gochujangbulgogi,Red Chili Paste Bulgogi,コチュジャンプルゴギ,辣椒酱烤牛肉,辣椒醬烤牛肉
고등어구이,godeungeogui,Grilled Mackerel,サバの塩焼き,烤青花鱼,烤青花魚
갈치구이,galchigui,Grilled Cutlassfish,太刀魚焼き,烤带鱼,烤帶魚
가자미구이,gajamigui,Grilled Plaice,カレイ焼き,烤鲽鱼,烤鰈魚
화양적,hwayangjeok,Beef and Vegetable Skewers,彩り串焼き,华阳串,華陽串
송이산적,songisanjeok,Pine Mushroom Skewers,松茸の串焼き,松茸烤串,松茸烤串
해물낙지전골,haemullakjijeongol,Seafood and Octopus Hot Pot,海鮮とテナガダコの寄せ鍋,海鲜章鱼火锅,海鮮章魚火鍋
신선로,sinseollo,Royal Hot Pot,宮中鍋,神仙炉,神仙爐
소고기전골,sogogijeongol,Beef Hot Pot,牛肉の寄せ鍋,牛肉火锅,牛肉火鍋
소고기버섯전골,sogogibeoseotjeongol,Beef and Mushroom Hot Pot,牛肉ときのこの寄せ鍋,牛肉蘑菇火锅,牛肉蘑菇火鍋
소고기국수전골,sogogiguksujeongol,Beef and Noodle Hot Pot,牛肉と素麺の寄せ鍋,牛肉面条火锅,牛肉麵條火鍋
불낙전골,bullakjeongol,Bulgogi and Octopus Hot Pot,牛肉とテナガダコの寄せ鍋,烤牛肉章鱼火锅,烤牛肉章魚火鍋
버섯전골,beoseotjeongol,Mushroom Hot Pot,きのこの寄せ鍋,蘑菇火锅,蘑菇火鍋
만두전골,mandujeongol,Dumpling Hot Pot,餃子の寄せ鍋,饺子火锅,餃子火鍋
두부전골,dubujeongol,Bean Curd Hot Pot,豆腐の寄せ鍋,豆腐火锅,豆腐火鍋
닭한마리,dakhanmari,Whole Chicken Stew,丸鶏の寄せ鍋,全鸡火锅,全雞火鍋
낙지전골,nakjijeongol,Octopus Hot Pot,テナガダコの寄せ鍋,章鱼火锅,章魚火鍋
김치전골,kimchijeongol,Kimchi Hot Pot,キムチの寄せ鍋,辛奇火锅,辛奇火鍋
국수전골,guksujeongol,Noodle Hot Pot,麺の寄せ鍋,面条火锅,麵條火鍋
곱창전골,gopchangjeongol,Beef Tripe Hot Pot,コプチャンの寄せ鍋,肥肠火锅,肥腸火鍋
